Kitap Adı,Kitabın kategorisi,Kitap Yazarı,Yayınevi,100 Üzerinden Aldığı Puan,Favorilere Ekleyen Kişi Sayısı,Okuyacağım olarak işaretlenmiş sayısı,Okuyorum olarak işaretlenmiş sayısı,Okudum olarak işaretlenmiş sayısı,Liste Fiyatı,Yayın Tarihi,Dil,Sayfa Sayısı,Cilt Tipi,Boyut,Kağıt Cinsi,Toplam Satılma Sayısı,Toplam Yorum Sayısı,Puan_Degeri,Oy_Sayisi,Liste_Fiyati_Numeric,Yayin_Yili,Sayfa_Sayisi_Numeric,Ana_Kategori,Dil_Encoded,Cilt Tipi_Encoded,Kağıt Cinsi_Encoded,Ana_Kategori_Grouped,Ana_Kategori_Bilim & Mühendislik,Ana_Kategori_Diger,Ana_Kategori_Diğer,Ana_Kategori_Edebiyat,Ana_Kategori_Felsefe-Düşünce,Ana_Kategori_Kişisel Gelişim,Ana_Kategori_Siyaset,Ana_Kategori_Sosyoloji,Ana_Kategori_Tarih,Ana_Kategori_Çocuk Kitapları,Ana_Kategori_İslam,Liste_Fiyati_Numeric_Normalized,Sayfa_Sayisi_Numeric_Normalized,Favorilere Ekleyen Kişi Sayısı_Normalized,Okuyacağım olarak işaretlenmiş sayısı_Normalized,Okuyorum olarak işaretlenmiş sayısı_Normalized,Okudum olarak işaretlenmiş sayısı_Normalized,Toplam Yorum Sayısı_Normalized,Puan_Degeri_Normalized,Oy_Sayisi_Normalized,Toplam Satılma Sayısı_Normalized
Macera İçinde Macera,Kitap > Çocuk Kitapları > Diğer,Kolektif,LOTİ KİTAP,5 / 5 (3 oy),8.0,0.0,0,2.0,"150,00",25.01.2024,TÜRKÇE,144,Karton Kapak,13.5 x 19.5 cm,Kitap Kağıdı,339.0,3.0,5.0,3.0,150.0,2024.0,144.0,Çocuk Kitapları,0,1,3,Çocuk Kitapları,0,0,0,0,0,0,0,0,0,1,0,0.22662889518413593,0.20408163265306123,0.027633851468048358,0.0,0.0,0.002098635886673662,0.007894736842105263,1.0,0.00022021581149526536,0.7019730010384215
Zevk Mahkumu,Kitap > Edebiyat > Roman (Çeviri) > Kitap > Orijinal Dil > İngilizce,Kresley Cole,PEGASUS YAYINLARI,5 / 5 (42 oy),113.0,6.0,2,48.0,"299,00",18.02.2015,TÜRKÇE,416,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,253.0,15.0,5.0,42.0,299.0,2015.0,416.0,Edebiyat,0,1,3,Edebiyat,0,0,0,1,0,0,0,0,0,0,0,0.5643059490084985,0.6666666666666666,0.39032815198618304,0.01090909090909091,0.003875968992248062,0.05036726128016789,0.039473684210526314,1.0,0.00451442413565294,0.5233644859813084
Alman KışıNeo-Liberal Çağın Almanya’sında Irkçılığın Hedefindeki Göçmenler,Kitap > Siyaset > Bölgeler-Ülkeler > Kitap > Siyaset > Araştırma-İnceleme,O. Can Ünver,NİKA YAYINEVİ,5 / 5 (8 oy),24.0,5.0,0,3.0,"270,00",10.12.2015,TÜRKÇE,248,Karton Kapak,14 x 21 cm,Kitap Kağıdı,81.0,5.0,5.0,8.0,270.0,2015.0,248.0,Siyaset,0,1,3,Siyaset,0,0,0,0,0,0,1,0,0,0,0,0.49858356940509907,0.38095238095238093,0.08290155440414507,0.00909090909090909,0.0,0.0031479538300104933,0.013157894736842105,1.0,0.0007707553402334288,0.16614745586708202
Dersim Alexanderplatz,Kitap > Edebiyat > Roman (Çeviri),İmran Ayata,İLETİŞİM YAYINLARI KAMPANYA,5 / 5 (4 oy),36.0,5.0,0,2.0,"174,00",17.07.2020,TÜRKÇE,265,Karton Kapak,13 x 19.5 cm,Kitap Kağıdı,73.0,0.0,5.0,4.0,174.0,2020.0,265.0,Edebiyat,0,1,3,Edebiyat,0,0,0,1,0,0,0,0,0,0,0,0.2810198300283286,0.4098639455782313,0.12435233160621761,0.00909090909090909,0.0,0.002098635886673662,0.0,1.0,0.00033032371724289804,0.14953271028037382
Tehlikeli Temas,Kitap > Edebiyat > Roman (Çeviri) > Kitap > Orijinal Dil > İngilizce,Abbi Glines,PEGASUS YAYINLARI,4 / 5 (33 oy),107.0,13.0,2,52.0,"249,00",17.06.2015,TÜRKÇE,256,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,189.0,10.0,4.0,33.0,249.0,2015.0,256.0,Edebiyat,0,1,3,Edebiyat,0,0,0,1,0,0,0,0,0,0,0,0.4509915014164305,0.3945578231292517,0.3696027633851468,0.023636363636363636,0.003875968992248062,0.05456453305351522,0.02631578947368421,0.75,0.0035234529839242457,0.3904465212876428
Salyangoz,Kitap > Edebiyat > Roman (Yerli),Hande Acarel,EPONA KİTAP,5 / 5 (1 oy),11.0,1.0,0,1.0,"188,00",28.12.2023,TÜRKÇE,244,Karton Kapak,12.5 x 19.5 cm,Kitap Kağıdı,320.0,1.0,5.0,1.0,188.0,2023.0,244.0,Edebiyat,0,1,3,Edebiyat,0,0,0,1,0,0,0,0,0,0,0,0.31274787535410764,0.37414965986394555,0.037996545768566495,0.0018181818181818182,0.0,0.001049317943336831,0.002631578947368421,1.0,0.0,0.6625129802699895
Kur'an'da Peygamberlik ve Peygamberimiz Hz. Muhammed Mustafa (s.a.v.),Kitap > İslam > Siyer > Kitap > İslam > Kuran İncelemeleri,Ahmet Okutan,RAĞBET YAYINLARI-KAMPANYA,4 / 5 (16 oy),50.0,13.0,0,4.0,"600,00",02.06.2015,TÜRKÇE,544,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,94.0,5.0,4.0,16.0,491.25,2015.0,544.0,İslam,0,1,3,İslam,0,0,0,0,0,0,0,0,0,0,1,1.0,0.8843537414965985,0.17271157167530224,0.023636363636363636,0.0,0.004197271773347324,0.013157894736842105,0.75,0.0016516185862144902,0.19314641744548286
Kısa Galler Tarihi,Kitap > Siyaset > Siyasal Tarih,Owen Edwards,LİBERUS,5 / 5 (5 oy),120.0,8.0,0,1.0,"160,00",10.07.2023,TÜRKÇE,116,Karton Kapak,13 x 19.5 cm,Kitap Kağıdı,135.0,0.0,5.0,5.0,160.0,2023.0,116.0,Siyaset,0,1,3,Siyaset,0,0,0,0,0,0,1,0,0,0,0,0.24929178470254953,0.1564625850340136,0.41450777202072536,0.014545454545454545,0.0,0.001049317943336831,0.0,1.0,0.00044043162299053066,0.2782969885773624
Aşkın Anatomisi,Kitap > Felsefe-Düşünce > Genel,A. Kirch,SAY YAYIN GRUBU-KAMPANYA,5 / 5 (5 oy),108.0,19.0,0,2.0,"200,00",01.01.2005,TÜRKÇE,264,Karton Kapak,13.5 x 19.5 cm,Kitap Kağıdı,77.0,1.0,5.0,5.0,200.0,2005.0,264.0,Felsefe-Düşünce,0,1,3,Felsefe-Düşünce,0,0,0,0,1,0,0,0,0,0,0,0.3399433427762039,0.40816326530612246,0.37305699481865284,0.034545454545454546,0.0,0.002098635886673662,0.002631578947368421,1.0,0.00044043162299053066,0.15784008307372793
Şu Diktatörler Ne Yer Ne İçer?,Kitap > Tarih > Araştırma-İnceleme,Christian Roudaut,SAY YAYIN GRUBU-KAMPANYA,5 / 5 (7 oy),91.0,4.0,1,7.0,"200,00",17.09.2022,TÜRKÇE,208,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,50.0,2.0,5.0,7.0,200.0,2022.0,208.0,Tarih,0,1,3,Tarih,0,0,0,0,0,0,0,0,1,0,0,0.3399433427762039,0.3129251700680272,0.3143350604490501,0.007272727272727273,0.001937984496124031,0.007345225603357817,0.005263157894736842,1.0,0.0006606474344857962,0.10176531671858775
