Kitap Adı,Kitabın kategorisi,Kitap Yazarı,Yayınevi,100 Üzerinden Aldığı Puan,Favorilere Ekleyen Kişi Sayısı,Okuyacağım olarak işaretlenmiş sayısı,Okuyorum olarak işaretlenmiş sayısı,Okudum olarak işaretlenmiş sayısı,Liste Fiyatı,Yayın Tarihi,Dil,Sayfa Sayısı,Cilt Tipi,Boyut,Kağıt Cinsi,Toplam Satılma Sayısı,Toplam Yorum Sayısı
Böyle Buyurdu Zerdüşt,Kitap > Edebiyat > Roman (Çeviri),Friedrich Nietzsche,KAPRA YAYINCILIK,5 / 5 (233 oy),7.144,482,56,486,"30,00",28.11.2020,TÜRKÇE,300,Karton Kapak,12.5 x 19.5 cm,Kitap Kağıdı,18253,120
Açlık,Kitap > Edebiyat > Roman (Çeviri),Knut Hamsun,KAPRA YAYINCILIK,5 / 5 (207 oy),4.205,283,41,396,"30,00",01.01.2023,TÜRKÇE,192,Karton Kapak,12.5 x 19.5 cm,Kitap Kağıdı,14466,119
Okumayı Söken Çocuk,Kitap > Çocuk Kitapları > Hikaye,Doç. Dr. Saniye Bencik Kangal,ELMA YAYINEVİ,5 / 5 (58 oy),1.011,57,10,121,"95,00",12.12.2024,TÜRKÇE,32,Karton Kapak,15 x 21.5 cm,Kitap Kağıdı,6366,34
Hıhıcık,Kitap > Çocuk Kitapları > Hikaye,Şermin Yaşar,DOĞAN ÇOCUK,5 / 5 (160 oy),3.401,186,23,422,"189,00",23.11.2021,TÜRKÇE,40,Karton Kapak,13.5 x 19.5 cm,Kitap Kağıdı,12236,84
Simyacı (Ciltsiz),Kitap > Edebiyat > Roman (Çeviri) > Kitap > Orijinal Dil > Portekizce,Paulo Coelho,CAN YAYINLARI,5 / 5 (16605 oy),68.273,6.079,784,25.926,"295,00",28.09.2021,TÜRKÇE,184,Karton Kapak,12 x 19.5 cm,Kitap Kağıdı,211764,8.031
Mira Stres Kulübesinden Ayrılıyor / Duygu Günlüğüm,Kitap > Çocuk Kitapları > Kitap > Çocuk Kitapları > Hikaye,Oya Doğan,TİMAŞ ÇOCUK YAYINLARI,5 / 5 (74 oy),1.552,91,8,169,"100,00",23.09.2023,TÜRKÇE,48,Karton Kapak,15 x 21 cm,Kitap Kağıdı,7142,48
Dijital Dedektifler 4 / Tablet Firarda,Kitap > Çocuk Kitapları > Diğer,Orhan Toker,ACAYİP KİTAPLAR,5 / 5 (38 oy),683,50,4,55,"149,00",31.10.2024,TÜRKÇE,120,Karton Kapak,12 x 19.5 cm,Kitap Kağıdı,2996,21
Geçmişe Bay Bay Geleceğe Hay Hay,Kitap > Kişisel Gelişim,Dilek Cesur,KRONİK KİTAP,5 / 5 (19 oy),791,71,11,29,"245,00",08.05.2025,TÜRKÇE,224,Karton Kapak,13.5 x 19.5 cm,Kitap Kağıdı,2216,13
Bir İdam Mahkumunun Son Günü,Kitap > Edebiyat > Roman (Çeviri),Victor Hugo,KAPRA YAYINCILIK,5 / 5 (440 oy),11.002,746,84,1.257,"20,00",28.11.2020,TÜRKÇE,128,Karton Kapak,12.5 x 19.5 cm,Kitap Kağıdı,31209,268
Uzun Kulak,Kitap > Çocuk Kitapları > Hikaye,Anıl Basılı,TİMAŞ ÇOCUK YAYINLARI,5 / 5 (46 oy),1.035,44,3,113,"90,00",12.01.2024,TÜRKÇE,32,Karton Kapak,15 x 21 cm,Kitap Kağıdı,4782,26
Mutlu Olma Sanatı,Kitap > Felsefe-Düşünce,Epikür,KAPRA YAYINCILIK,5 / 5 (77 oy),1.930,110,8,77,"20,00",16.09.2021,TÜRKÇE,104,Karton Kapak,12.5 x 19.5 cm,Kitap Kağıdı,4888,31
Azdahak,Kitap > Edebiyat > Roman (Yerli),Prof. Dr. İskender Pala,KAPI YAYINLARI,5 / 5 (295 oy),6.010,640,69,491,"395,00",20.08.2025,TÜRKÇE,376,Karton Kapak,13.5 x 19.5 cm,Kitap Kağıdı,11615,190
Zeytindağı (Özgün Metin),Kitap > Siyaset > Siyasal Hayat (Türkiye) > Kitap > Edebiyat > 100 Temel Eser,Falih Rıfkı Atay,POZİTİF YAYINLARI,4 / 5 (2955 oy),22.348,2.023,209,3.451,"150,00",09.06.2023,TÜRKÇE,176,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,56073,1.398
Ortaya Karışık / Hayat Dediğin 4,Kitap > Çocuk Kitapları > Roman,Doç. Dr. Saniye Bencik Kangal,KRONİK KİTAP,5 / 5 (143 oy),925,102,3,103,"195,00",05.06.2024,TÜRKÇE,96,Karton Kapak,13.5 x 19.5 cm,Kitap Kağıdı,3588,124
Kelebek Zihinli Çocuk,Kitap > Edebiyat > Roman (Çeviri),Victoria Williamson,TİMAŞ GENÇ,5 / 5 (128 oy),2.567,165,16,278,"265,00",01.03.2022,TÜRKÇE,272,Karton Kapak,13.5 x 20.5 cm,Kitap Kağıdı,6571,71
Yabancı,Kitap > Edebiyat > Roman (Çeviri),Albert Camus,CAN YAYINLARI,5 / 5 (275 oy),8.855,369,25,893,"200,00",09.04.2021,TÜRKÇE,112,Karton Kapak,12.5 x 19.5 cm,Kitap Kağıdı,13885,155
Engereğin Gözü,Kitap > Edebiyat > Roman (Yerli),Zülfü Livaneli,İNKILAP KİTABEVİ,5 / 5 (187 oy),7.193,357,27,583,"310,00",09.04.2025,TÜRKÇE,144,Karton Kapak,13.7 x 23 cm,Kitap Kağıdı,13616,126
Dil Belası - Dilin Afetleri,Kitap > İslam > Kültür,İmam Gazali,ÇELİK YAYINEVİ,5 / 5 (442 oy),11.526,648,125,664,"160,00",24.11.2016,TÜRKÇE,248,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,23261,273
Cesaret Sandığı,Kitap > Çocuk Kitapları > Okul Öncesi > Masal,Şermin Yaşar,ELMA YAYINEVİ,5 / 5 (285 oy),2.417,105,10,356,"189,00",27.04.2017,TÜRKÇE,32,Karton Kapak,19 x 24 cm,Kitap Kağıdı,9154,125
Vejetaryen,Kitap > Edebiyat > Roman (Çeviri),Han Kang,APRIL YAYINCILIK,4 / 5 (404 oy),4.909,328,32,576,"280,00",18.10.2024,TÜRKÇE,160,Karton Kapak,14 x 21 cm,Kitap Kağıdı,8965,220
Şehirdeki Gizemli Sinyal - Faruk,Kitap > Çocuk Kitapları > Hikaye,Caner Sarıoğlu,TİMAŞ ÇOCUK YAYINLARI,5 / 5 (186 oy),2.642,186,29,433,"110,00",19.09.2023,TÜRKÇE,64,Karton Kapak,12.5 x 19.5 cm,Kitap Kağıdı,25050,117
Dijital Dedektifler 1 / Kamera Arkası,Kitap > Çocuk Kitapları > Diğer,Orhan Toker,ACAYİP KİTAPLAR,5 / 5 (115 oy),1.467,109,9,196,"149,00",24.04.2024,TÜRKÇE,120,Karton Kapak,12 x 19.5 cm,Kitap Kağıdı,8335,73
Ayaşlı ile Kiracıları,Kitap > Edebiyat > Roman (Yerli),Memduh Şevket Esendal,KAPRA YAYINCILIK,5 / 5 (108 oy),1.882,141,11,126,"30,00",12.01.2023,TÜRKÇE,248,Karton Kapak,12.5 x 19.5 cm,Kitap Kağıdı,4886,70
