Kitap Adı,Kitabın kategorisi,Kitap Yazarı,Yayınevi,100 Üzerinden Aldığı Puan,Favorilere Ekleyen Kişi Sayısı,Okuyacağım olarak işaretlenmiş sayısı,Okuyorum olarak işaretlenmiş sayısı,Okudum olarak işaretlenmiş sayısı,Liste Fiyatı,Yayın Tarihi,Dil,Sayfa Sayısı,Cilt Tipi,Boyut,Kağıt Cinsi,Toplam Satılma Sayısı,Toplam Yorum Sayısı
Macera İçinde Macera,Kitap > Çocuk Kitapları > Diğer,Kolektif,LOTİ KİTAP,5 / 5 (3 oy),8,0,0,2,"150,00",25.01.2024,TÜRKÇE,144,Karton Kapak,13.5 x 19.5 cm,Kitap Kağıdı,339,3
Zevk Mahkumu,Kitap > Edebiyat > Roman (Çeviri) > Kitap > Orijinal Dil > İngilizce,Kresley Cole,PEGASUS YAYINLARI,5 / 5 (42 oy),113,6,2,48,"299,00",18.02.2015,TÜRKÇE,416,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,253,15
Alman KışıNeo-Liberal Çağın Almanya’sında Irkçılığın Hedefindeki Göçmenler,Kitap > Siyaset > Bölgeler-Ülkeler > Kitap > Siyaset > Araştırma-İnceleme,O. Can Ünver,NİKA YAYINEVİ,5 / 5 (8 oy),24,5,0,3,"270,00",10.12.2015,TÜRKÇE,248,Karton Kapak,14 x 21 cm,Kitap Kağıdı,81,5
Dersim Alexanderplatz,Kitap > Edebiyat > Roman (Çeviri),İmran Ayata,İLETİŞİM YAYINLARI KAMPANYA,5 / 5 (4 oy),36,5,0,2,"174,00",17.07.2020,TÜRKÇE,265,Karton Kapak,13 x 19.5 cm,Kitap Kağıdı,73,0
Tehlikeli Temas,Kitap > Edebiyat > Roman (Çeviri) > Kitap > Orijinal Dil > İngilizce,Abbi Glines,PEGASUS YAYINLARI,4 / 5 (33 oy),107,13,2,52,"249,00",17.06.2015,TÜRKÇE,256,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,189,10
Salyangoz,Kitap > Edebiyat > Roman (Yerli),Hande Acarel,EPONA KİTAP,5 / 5 (1 oy),11,1,0,1,"188,00",28.12.2023,TÜRKÇE,244,Karton Kapak,12.5 x 19.5 cm,Kitap Kağıdı,320,1
Kur'an'da Peygamberlik ve Peygamberimiz Hz. Muhammed Mustafa (s.a.v.),Kitap > İslam > Siyer > Kitap > İslam > Kuran İncelemeleri,Ahmet Okutan,RAĞBET YAYINLARI-KAMPANYA,4 / 5 (16 oy),50,13,0,4,"600,00",02.06.2015,TÜRKÇE,544,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,94,5
Kısa Galler Tarihi,Kitap > Siyaset > Siyasal Tarih,Owen Edwards,LİBERUS,5 / 5 (5 oy),120,8,0,1,"160,00",10.07.2023,TÜRKÇE,116,Karton Kapak,13 x 19.5 cm,Kitap Kağıdı,135,0
Aşkın Anatomisi,Kitap > Felsefe-Düşünce > Genel,A. Kirch,SAY YAYIN GRUBU-KAMPANYA,5 / 5 (5 oy),108,19,0,2,"200,00",01.01.2005,TÜRKÇE,264,Karton Kapak,13.5 x 19.5 cm,Kitap Kağıdı,77,1
Şu Diktatörler Ne Yer Ne İçer?,Kitap > Tarih > Araştırma-İnceleme,Christian Roudaut,SAY YAYIN GRUBU-KAMPANYA,5 / 5 (7 oy),91,4,1,7,"200,00",17.09.2022,TÜRKÇE,208,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,50,2
